Three Billboards Outside Ebbing, Missouri	 --- Martin McDonagh (dir.), Frances McDormand, Woody Harrelson	 --- 2017	 --- 452,024	 --- 8.1
Dial M for Murder	 --- Alfred Hitchcock (dir.), Ray Milland, Grace Kelly	 --- 1954	 --- 162,087	 --- 8.1
No Country for Old Men	 --- Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem	 --- 2007	 --- 879,977	 --- 8.1
Shutter Island	 --- Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer	 --- 2010	 --- 1,164,764	 --- 8.1
Det sjunde inseglet	 --- Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand	 --- 1957	 --- 169,566	 --- 8.1
The Elephant Man	 --- David Lynch (dir.), Anthony Hopkins, John Hurt	 --- 1980	 --- 224,730	 --- 8.1
The Thing	 --- John Carpenter (dir.), Kurt Russell, Wilford Brimley	 --- 1982	 --- 379,794	 --- 8.1
The Sixth Sense	 --- M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment	 --- 1999	 --- 926,338	 --- 8.1
Inside Out	 --- Pete Docter (dir.), Amy Poehler, Bill Hader	 --- 2015	 --- 635,884	 --- 8.1
V for Vendetta	 --- James McTeigue (dir.), Hugo Weaving, Natalie Portman	 --- 2005	 --- 1,050,864	 --- 8.1
The Third Man	 --- Carol Reed (dir.), Orson Welles, Joseph Cotten	 --- 1949	 --- 161,776	 --- 8.1
Klaus	 --- Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons	 --- 2019	 --- 113,623	 --- 8.1
Blade Runner	 --- Ridley Scott (dir.), Harrison Ford, Rutger Hauer	 --- 1982	 --- 707,153	 --- 8.1
The Bridge on the River Kwai	 --- David Lean (dir.), William Holden, Alec Guinness	 --- 1957	 --- 207,133	 --- 8.1
Smultronstället	 --- Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson	 --- 1957	 --- 99,043	 --- 8.1
Trainspotting	 --- Danny Boyle (dir.), Ewan McGregor, Ewen Bremner	 --- 1996	 --- 644,778	 --- 8.1
Babam ve Oglum	 --- Cagan Irmak (dir.), Eser Sariyar, Çetin Tekindor	 --- 2005	 --- 81,184	 --- 8.1
The Truman Show	 --- Peter Weir (dir.), Jim Carrey, Ed Harris	 --- 1998	 --- 965,890	 --- 8.1
Warrior	 --- Gavin O'Connor (dir.), Tom Hardy, Nick Nolte	 --- 2011	 --- 443,317	 --- 8.1
Jurassic Park	 --- Steven Spielberg (dir.), Sam Neill, Laura Dern	 --- 1993	 --- 887,820	 --- 8.1
Fargo	 --- Joel Coen (dir.), William H. Macy, Frances McDormand	 --- 1996	 --- 630,916	 --- 8.1
Salinui chueok	 --- Bong Joon Ho (dir.), Kang-ho Song, Kim Sang-kyung	 --- 2003	 --- 149,400	 --- 8.1
Finding Nemo	 --- Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres	 --- 2003	 --- 967,169	 --- 8.1
Gone with the Wind	 --- Victor Fleming (dir.), Clark Gable, Vivien Leigh	 --- 1939	 --- 295,193	 --- 8.1
Tôkyô monogatari	 --- Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama	 --- 1953	 --- 55,229	 --- 8.1
Kill Bill: Vol. 1	 --- Quentin Tarantino (dir.), Uma Thurman, David Carradine	 --- 2003	 --- 1,021,596	 --- 8.1
On the Waterfront	 --- Elia Kazan (dir.), Marlon Brando, Karl Malden	 --- 1954	 --- 144,924	 --- 8.1
Stalker	 --- Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy	 --- 1979	 --- 120,762	 --- 8.1
The General	 --- Clyde Bruckman (dir.), Buster Keaton, Marion Mack	 --- 1926	 --- 82,981	 --- 8.1
The Deer Hunter	 --- Michael Cimino (dir.), Robert De Niro, Christopher Walken	 --- 1978	 --- 317,439	 --- 8.1
Relatos salvajes	 --- Damián Szifron (dir.), Darío Grandinetti, María Marull	 --- 2014	 --- 182,625	 --- 8.1
Gran Torino	 --- Clint Eastwood (dir.), Clint Eastwood, Bee Vang	 --- 2008	 --- 731,390	 --- 8.1
Sherlock Jr.	 --- Buster Keaton (dir.), Buster Keaton, Kathryn McGuire	 --- 1924	 --- 43,822	 --- 8.1
Room	 --- Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay	 --- 2015	 --- 383,193	 --- 8.1
The Grand Budapest Hotel	 --- Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham	 --- 2014	 --- 729,146	 --- 8.1
Before Sunrise	 --- Richard Linklater (dir.), Ethan Hawke, Julie Delpy	 --- 1995	 --- 279,889	 --- 8.1
Persona	 --- Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann	 --- 1966	 --- 106,947	 --- 8.1
Mary and Max	 --- Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman	 --- 2009	 --- 167,472	 --- 8.1
In the Name of the Father	 --- Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite	 --- 1993	 --- 162,030	 --- 8.1
Prisoners	 --- Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal	 --- 2013	 --- 620,002	 --- 8.1
Mr. Smith Goes to Washington	 --- Frank Capra (dir.), James Stewart, Jean Arthur	 --- 1939	 --- 108,964	 --- 8.1
Gone Girl	 --- David Fincher (dir.), Ben Affleck, Rosamund Pike	 --- 2014	 --- 885,701	 --- 8.1
Catch Me If You Can	 --- Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks	 --- 2002	 --- 859,840	 --- 8.1
To Be or Not to Be	 --- Ernst Lubitsch (dir.), Carole Lombard, Jack Benny	 --- 1942	 --- 31,807	 --- 8.1
Hacksaw Ridge	 --- Mel Gibson (dir.), Andrew Garfield, Sam Worthington	 --- 2016	 --- 453,063	 --- 8.1
Andhadhun	 --- Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu	 --- 2018	 --- 77,614	 --- 8.1
Barry Lyndon	 --- Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson	 --- 1975	 --- 153,938	 --- 8.1
The Big Lebowski	 --- Joel Coen (dir.), Jeff Bridges, John Goodman	 --- 1998	 --- 747,937	 --- 8.1
Ford v Ferrari	 --- James Mangold (dir.), Matt Damon, Christian Bale	 --- 2019	 --- 316,781	 --- 8.1
